ID,NAME,PHONE,STREET,CITY,STATE,ZIP,FACILITY,result_num,status,formatted_,place_id,location_t,Latitude,Longitude
0,Community Hlth Ctr of Southern IA,(641) 932-2065,117 South Main Street,Albia,Iowa,52531,MH SUMH OP TELE CMHC BMT CBT CFT DBT IPT PTM TT PVTN FQHC CLF MC MD MI PI SF SI SS COOT FPSY SPS STU SMPD ADLT CHLD SNR YAD AH,0,OK,"117 S Main St, Albia, IA 52531, USA",ChIJA7WG_RfH6IcR_UQfIOYit3M,ROOFTOP,41.0255687,-92.8073191
1,Eyerly Ball Community MH Services Story County Outpatient Clinic,(515) 241-0982,2521 University Boulevard Suite 121,Ames,Iowa,50010,MH SUMH OP TELE CMHC BMT CBT CFT DBT GT IPT PTM TT CIT PVTN CLF CMHG CSBG MC MD MI OSF PI SCJJ SF SI SMHA SWFS VAF COOT FPSY SMON ADLT CHLD SNR YAD AH,0,OK,"2521 University Blvd #121, Ames, IA 50010, USA",Ei4yNTIxIFVuaXZlcnNpdHkgQmx2ZCAjMTIxLCBBbWVzLCBJQSA1MDAxMCwgVVNBIiQaIgobEhkKFAoSCcUj4cpBeu6HEfSkgOL2xCd6ENkTEgMxMjE,RANGE_INTERPOLATED,41.999659,-93.64024839999999
2,Lutheran Services in Iowa Inc,(515) 232-7262,1323 NW Avenue,Ames,Iowa,50010,MH OP RES RTCC AT BMT CBT CFT GT IPT PTM TT PVTN CLF MD OSF PI SCJJ SF SI SMHA SWFS CJ TRMA PTSD SED CM ES FPSY IPC SMON CHLD AH,0,OK,"Ames, IA, USA",ChIJa6A0RmJw7ocRAFLHPAhWMSc,APPROXIMATE,42.0307812,-93.63191309999999
3,Mary Greeley Medical Center Behavioral Health Unit,(515) 239-2610,1111 Duff Avenue,Ames,Iowa,50010,MH SUMH HI TELE PSY AT CBT DBT ECT GT IPT PTM CIT WI PVTN CLF MC MD MI PI SF SI VAF SE CO SMI NRT NSC STU TCC SMON ADLT SNR YAD AH,0,OK,"1111 Duff Ave, Ames, IA 50010, USA",ChIJa8wYYGVw7ocR16yTJY9Fz4s,ROOFTOP,42.0328049,-93.6118077
4,Richmond Center,(515) 232-5811,1619 South High Avenue,Ames,Iowa,50010,MH SUMH OP TELE OMH AT BMT CBT CFT DBT GT IDD IPT PTM TT PVTN CLF MC MD MI PI SCJJ SF SI SWFS VAF SS CO COOT ES FPSY SPS NRT NSC STU TCC SMON ADLT CHLD SNR YAD AH,0,OK,"1619 S High Ave, Ames, IA 50010, USA",ChIJ4WnNXJF67ocRKpwAbG8HCRg,ROOFTOP,42.0074127,-93.6076729
5,Cass County Memorial Hospital Behavioral Health Unit,(712) 250-8865,1501 East 10th Street,Atlantic,Iowa,50022,MH HI TELE PSY AT CBT GT IPT PTM TT PVTN CLF CMHG CSBG ITU MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS VAF TAY SE GL VET ADM MF CJ CO HV ALZ PED PTSD SED SMI DEC NRT NSC STU TCC SMON ADLT CHLD SNR YAD AH,0,OK,"1501 E 10th St, Atlantic, IA 50022, USA",ChIJ0b4EZ-6z7IcRaZDedqbuO1s,ROOFTOP,41.4012457,-94.9911102
6,Southwest Iowa Mental Health Center,(712) 243-2606,1500 East 10th Street,Atlantic,Iowa,50022,MH OP CMHC CBT CFT GT IPT PTM TT CIT PVTN CLF MC MD MI PI SCJJ SEF SF SI SMHA VAF PA SS SED SMI COOT SMON ADLT CHLD SNR YAD AH SP,0,OK,"1500 E 10th St, Atlantic, IA 50022, USA",ChIJffq_xO2z7IcRGtQrXWSlqTg,ROOFTOP,41.402606,-94.9922472
7,Richmond Center,(515) 433-0369,1332 South Marshall Street,Boone,Iowa,50036,MH SUMH OP TELE OMH AT BMT CBT CFT DBT GT IDD IPT PTM TT PVTN CLF MC MD MI PI SCJJ SF SI SWFS VAF COOT ES FPSY SPS NRT NSC STU TCC SMON ADLT CHLD SNR YAD AH,0,OK,"1332 S Marshall St, Boone, IA 50036, USA",ChIJffdkpe_a7YcRPVOiaK-iMnI,ROOFTOP,42.0407066,-93.8777313
8,Catholic Charities Diocese of Sioux City,(712) 792-9597,409 1/2 West 7th,Carroll,Iowa,51401,MH OP OMH BMT CBT CFT IPT TT CIT PVTN CLF MC MD PI SCJJ SF SI SWFS PA SS TRMA PTSD COOT ES SMON ADLT CHLD SNR YAD,0,OK,"409 W 7th St, Carroll, IA 51401, USA",ChIJ5TZiP5M57YcRl2FrwvQM7qg,ROOFTOP,42.0676734,-94.8717353
9,Counseling Services LLC,(712) 662-3222,322 East 6th Street,Carroll,Iowa,51401,MH SUMH OP OMH CBT CFT IPT TT PVTP CLF CMHG CSBG ITU MC MD MI OSF PI SCJJ SF SI SMHA SWFS VAF PA SS COOT SMPD ADLT CHLD SNR YAD,0,OK,"322 E 6th St, Carroll, IA 51401, USA",ChIJbVuWHZA57YcRGVcfqe0TZH0,ROOFTOP,42.064417,-94.8633
10,Plains Area Mental Health Center,(712) 792-2991,318 South Maple Street Suite 1,Carroll,Iowa,51401,MH SUMH OP TELE CMHC AT BMT CBT CFT DBT GT IDD IPT PTM TT CIT WI PVTN CLF CMHG CSBG MC MD MI OSF PI SF SI CM COOT ES FPSY IPC PEER STU SMPD ADLT CHLD SNR YAD AH,0,OK,"318 S Maple St #1, Carroll, IA 51401, USA",EikzMTggUyBNYXBsZSBTdCAjMSwgQ2Fycm9sbCwgSUEgNTE0MDEsIFVTQSIdGhsKFgoUChIJlxpzsok57YcRpxrYhm0L7iMSATE,ROOFTOP,42.056164,-94.8652719
