ID,City,Hospital N,TYPE,ADDRESS,WEBSITE,BEDS,NAICS_DESC,result_num,status,formatted_,place_id,location_t,Latitude,Longitude
0,LEON,DECATUR COUNTY HOSPITAL,GENERAL ACUTE CARE,1405 NORTHWEST CHURCH STREET,http://www.decaturcountyhospital.org,25,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"1405 NW Church St, Leon, IA 50144, USA",ChIJIxMOYgnY64cRNgERwfQteU0,ROOFTOP,40.7514261,-93.746944
1,CLARINDA,MENTAL HEALTH INSTITUTE,PSYCHIATRIC,1800 NORTH 16TH STREET,http://dhs.state.ia.us/,35,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"1800 N 16th St, Clarinda, IA 51632, USA",ChIJUYvYbGgz64cR6WtFDd6FPFg,ROOFTOP,40.7572575,-95.03770089999999
2,COUNCIL BLUFFS,CHI HEALTH MERCY HOSPITAL,GENERAL ACUTE CARE,800 MERCY DRIVE,http://www.chihealth.com/,278,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"800 Mercy Dr, Council Bluffs, IA 51503, USA",ChIJm-puHOyEk4cRL8hYq6pZz6U,ROOFTOP,41.2687021,-95.8393612
3,GLENWOOD,GLENWOOD STATE HOSPITAL SCHOOL,GENERAL ACUTE CARE,711 SOUTH VINE STREET,NOT AVAILABLE,851,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"711 S Vine St, Glenwood, IA 51534, USA",ChIJiR-Cce19lIcRpHTpNBP_p14,ROOFTOP,41.03966440000001,-95.74148029999999
4,MOUNT AYR,RINGGOLD COUNTY HOSPITAL,GENERAL ACUTE CARE,211 SHELLWAY DRIVE,http://www.rchmtayr.org,16,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"211 Shellway Dr, Mt Ayr, IA 50854, USA",EiYyMTEgU2hlbGx3YXkgRHIsIE10IEF5ciwgSUEgNTA4NTQsIFVTQSIbEhkKFAoSCZnbqNzwr-uHET3oBb1HATzPENMB,RANGE_INTERPOLATED,40.7125246,-94.2456512
5,DENISON,CRAWFORD COUNTY MEMORIAL HOSPITAL,GENERAL ACUTE CARE,2020 FIRST AVENUE SOUTH,http://www.ccmhia.com,25,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"2020 1st Ave S, Denison, IA 51442, USA",ChIJc06DZsjDkocR3t89dvJk95A,ROOFTOP,42.0154758,-95.34262369999999
6,HAMPTON,FRANKLIN GENERAL HOSPITAL,CRITICAL ACCESS,"1720 CENTRAL AVENUE EAST, PO BOX 417",http://www.franklingeneral.com,25,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"1720 Central Ave E a, Hampton, IA 50441, USA",ChIJ97lIBFPJ8YcRWLsVBqtpp9M,ROOFTOP,42.743645,-93.185346
7,CLARINDA,CLARINDA MUNICIPAL HOSPITAL,GENERAL ACUTE CARE,"17TH AND WELLS, PO BOX 217",http://www.clarindahealth.com,25,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"Clarinda, IA 51632, USA",ChIJO4xdLBcz64cRG3MJ6BiYx-s,APPROXIMATE,40.7419352,-95.038313
8,CLINTON,MERCY REHABILITATION SERVICES,GENERAL ACUTE CARE,638 SOUTH BLUFF ROAD,http://www.mercyclinton.com,-999,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"638 S Bluff Blvd, Clinton, IA 52732, USA",ChIJLZ2QJ_Zj4ocR_LEesuUt9tE,ROOFTOP,41.8403641,-90.213194
9,MANNING,MANNING REGIONAL HEALTHCARE,CRITICAL ACCESS,1550 6TH STREET,http://www.mrhcia.com,17,GENERAL MEDICAL AND SURGICAL HOSPITALS,0,OK,"1550 6th St, Manning, IA 51455, USA",ChIJ____-DXTkocR2v6D5ZNywPE,ROOFTOP,41.9045113,-95.0754359
